"rr","n","br","br_guess","p_exp","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.25,300,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.526006322319715,0.0272970762810105,0.863209345113516,0.0193116059630089,1.19856975342307,1.38850414468747,0.0310634321465588,1.01047904195887,0.987,0.00358203852575597,4.66816764007439,"04_or_to_rr",1000
0.5,300,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.125124405651499,0.0299124636933049,0.945915156979359,0.0211618895108474,1.19050832671901,1.25857833859088,0.0281567490968824,0.953685926082965,0.997,0.00172945077987204,4.63324333940789,"04_or_to_rr",1000
0.75,300,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0233571938461177,0.0306434443540384,0.969030795113883,0.0216790295276514,1.18093442735223,1.21867584942277,0.0272640558561061,0.96882775543516,0.992,0.00281709069786544,4.59036323536097,"04_or_to_rr",1000
1,300,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0728047765289164,0.0307792820998221,0.97332636180288,0.0217751293807813,1.15601959933017,1.18769987611235,0.0265710654543251,0.975560032934558,0.982,0.00420428352992517,4.48934366619592,"04_or_to_rr",1000
2,300,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0632699395393592,0.0270966243780527,0.8568704993669,0.0191697941394787,1.08173491593883,1.26242520513668,0.0282428106894097,0.858775821085986,0.97,0.00539444158370447,4.18374001598306,"04_or_to_rr",1000
0.25,50,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.614874339704251,0.0255547947739593,0.808113566238791,0.0180790104427255,1.18623449478266,1.46790568100937,0.0328397928764168,1.01511819116297,0.99,0.00314642654451046,4.62049338493669,"04_or_to_rr",1000
0.5,50,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.216953165502207,0.0271786870652165,0.859465549390415,0.0192278502573742,1.2000982202098,1.3963308023934,0.0312385291036063,0.886008479406268,1,0,4.67197243690875,"04_or_to_rr",1000
0.75,50,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.0702989424319597,0.0287623932310649,0.909546735675749,0.0203482599716309,1.18437462310844,1.30215917077477,0.0291317337439321,0.91180586224321,1,0,4.60824186084489,"04_or_to_rr",1000
1,50,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.104213641767007,0.029374300408838,0.928896939659433,0.0207811601907402,1.16661873004605,1.25591836966733,0.0280972406218919,0.934262895610488,0.983,0.00408790900094413,4.53231438681386,"04_or_to_rr",1000
2,50,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.153904457325026,0.0270901822949861,0.856666782813236,0.0191652366195274,1.0784854872811,1.2589323047398,0.0281646679810222,0.869960160457544,0.97,0.00539444158370447,4.17118755063493,"04_or_to_rr",1000
0.25,100,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.296102781014008,0.0274722007553119,0.868747267241836,0.0194354996286665,1.1255049464129,1.2955493373651,0.0289838594200368,0.917411548570241,0.976,0.00483983470792134,4.38041357096085,"04_or_to_rr",1000
0.5,100,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.0220444074960807,0.0291188280065257,0.920818192953215,0.0206004235317262,1.09308931136487,1.18708483360776,0.0265573058042861,0.920621634674638,0.996,0.00199599599197994,4.23212850977485,"04_or_to_rr",1000
0.75,100,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0486610493113833,0.0297332089174214,0.94024662324681,0.0210350738195545,1.04897293594964,1.11563595126498,0.0249588608035317,0.941035358812083,0.995,0.00223047080231955,4.04723436328786,"04_or_to_rr",1000
1,100,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0372195047817731,0.0295320547395366,0.933885569617062,0.020892765164183,0.993817670085045,1.06417499361571,0.0238075830257511,0.93416026805792,0.974,0.00503229569878401,3.81868693622051,"04_or_to_rr",1000
2,100,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.0741459432198827,0.0246626917147422,0.77990279049149,0.0174478826772226,0.867639409975795,1.11249686570427,0.0248886335941348,0.783031120166857,0.981,0.00431729081716764,3.31506867149909,"04_or_to_rr",1000
0.25,300,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.112570513695073,0.0250113655729821,0.790928826017457,0.0176945556941645,0.890278834333288,1.12561181872216,0.0251820395985282,0.798507958614753,0.969,0.00548078461536303,3.41851819317671,"04_or_to_rr",1000
0.5,300,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0616870525296177,0.0226739817430126,0.717014259329945,0.0160409487274697,0.703015738308025,0.98047664904879,0.021935094666835,0.719305659010256,0.964,0.00589101010014412,2.68623162400984,"04_or_to_rr",1000
0.75,300,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.00365284879151534,0.0191116560537889,0.604363629877184,0.0135207436581066,0.60114760245072,0.994678654923167,0.0222528200747941,0.604072417037478,0.973,0.00512552436341883,2.31289314263981,"04_or_to_rr",1000
1,300,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.0115608133542484,0.0186843316348831,0.59085044524168,0.0132184284683285,0.550198728262137,0.931197958287203,0.0208326382769131,0.590668093601695,0.964,0.00589101010014412,2.12111733609335,"04_or_to_rr",1000
2,300,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.0708925715603211,0.0159783470348936,0.505279698748618,0.0113040509797284,0.470799457635156,0.931760090106814,0.0208452142160651,0.509978453560503,0.958,0.00634318531969546,1.81287886361316,"04_or_to_rr",1000
0.25,50,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.105768891955208,0.0256450815651837,0.810968685267764,0.0181428847902139,1.02891462155195,1.26874765973513,0.0283842558123284,0.817434766071197,0.966,0.00573096850453743,3.99704577673688,"04_or_to_rr",1000
0.5,50,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0233089650749588,0.0276686245451012,0.8749587328656,0.0195744617208379,0.954632896097482,1.09106048118514,0.0244090616184045,0.874831720553401,0.981,0.00431729081716764,3.66734841697406,"04_or_to_rr",1000
0.75,50,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.00450126810621774,0.0266644532766046,0.843204049172102,0.0188640501127613,0.857227726493593,1.0166314160081,0.0227439443591547,0.842794362158559,0.983,0.00408790900094413,3.26714527675517,"04_or_to_rr",1000
1,50,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0309397598548226,0.0251582610595827,0.795574069174024,0.0177984784632469,0.789576978778387,0.992461933303253,0.0222032278701965,0.795777877414575,0.985,0.00384382621875652,3.00743733249073,"04_or_to_rr",1000
2,50,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.0514314779693163,0.0201203195983222,0.636260371812224,0.0142343333744833,0.645797898870015,1.0149899749856,0.0227072222564371,0.638018518856623,0.98,0.00442718872423573,2.44739483167904,"04_or_to_rr",1000
0.25,100,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0832850677430493,0.0237311428741141,0.75044462961075,0.0167888485755367,0.864107551433097,1.15146077050522,0.0257603289488661,0.754678989689303,0.978,0.00463853425124791,3.30865483436803,"04_or_to_rr",1000
0.5,100,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.081206062259233,0.0219271488526495,0.693397329679203,0.0155125938827811,0.692214871665659,0.99829468911556,0.0223337175162637,0.697791861157103,0.967,0.00564898220921256,2.6356006302137,"04_or_to_rr",1000
0.75,100,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0369358561715155,0.019981199722882,0.631861015070324,0.0141359115439376,0.581545354365266,0.920369100949426,0.0205903765044698,0.632624178714707,0.958,0.00634318531969546,2.2259761279177,"04_or_to_rr",1000
1,100,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.00998953656084232,0.0175437147371573,0.554780971896795,0.0124114869535352,0.517898846659241,0.933519484074132,0.0208845751465542,0.554593486882666,0.958,0.00634318531969546,1.99580697093459,"04_or_to_rr",1000
2,100,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.0533118351455928,0.0142176116112814,0.449600355793056,0.010058400040563,0.431752356806544,0.960302524772183,0.0214837618112722,0.452526785081175,0.964,0.00589101010014412,1.65970729872298,"04_or_to_rr",1000
0.25,300,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0851816227735097,0.0166374241971316,0.526121548613341,0.0117703221043475,0.50770391030558,0.964993567824198,0.0215887092095932,0.53271285782278,0.961,0.00612200947402077,1.93727859609307,"04_or_to_rr",1000
0.5,300,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0258833429608601,0.0117674384621193,0.37211907766166,0.0083249990744427,0.362116461159983,0.973119850332502,0.0217705093333208,0.372832513059999,0.958,0.00634318531969546,1.40593022799701,"04_or_to_rr",1000
0.75,300,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0142419058367649,0.00965231922156269,0.305233134431615,0.0068286355475245,0.308716515642204,1.01141219880035,0.0226271807180729,0.305412722345447,0.962,0.00604615580348373,1.20411314438964,"04_or_to_rr",1000
1,300,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.0120907383872166,0.00934116274610121,0.29539350271993,0.00660850460071204,0.281842209064092,0.954124604870926,0.0213455501995937,0.295493231872488,0.954,0.00662449998113065,1.1003333867033,"04_or_to_rr",1000
2,300,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.0105007025581736,0.0072429921523732,0.229043522762247,0.00512413157364777,0.235889418037614,1.02988905860688,0.0230405425960893,0.229169673251579,0.964,0.00589101010014412,0.920783226942892,"04_or_to_rr",1000
0.25,50,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0423104852561717,0.0228515683606281,0.722630041266247,0.0161665842625134,0.838783445262094,1.16073702636596,0.0259678561252211,0.723506848292765,0.955,0.00655553201502365,3.20295656203393,"04_or_to_rr",1000
0.5,50,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0638748978952663,0.0203662717115957,0.644038060544983,0.0144083348041021,0.643127853978847,0.998586719292077,0.0223402507769728,0.646877299793588,0.97,0.00539444158370447,2.45160077086059,"04_or_to_rr",1000
0.75,50,0.3,0.01,0.5,"dipietrantonj","population",1000,999,999,999,0.001,-0.0547469963933787,0.0170202138820666,0.537957240782854,0.0120411367571405,0.533088725693357,0.990949996169933,0.0221805071458949,0.540467888818759,0.96996996996997,0.00539975783819392,2.04200957939828,"04_or_to_rr",1000
1,50,0.3,0.01,0.5,"dipietrantonj","population",1000,997,997,997,0.003,-0.0217263121897574,0.0148225737955919,0.468027315275498,0.01048640274317,0.464638717893772,0.99275982988358,0.0222433158570503,0.468296798826803,0.9679037111334,0.00558207809827822,1.79099408179451,"04_or_to_rr",1000
2,50,0.3,0.01,0.5,"dipietrantonj","population",1000,906,906,906,0.094,0.069132705133002,0.0128885614574254,0.387943558905545,0.00911862294829071,0.390727102854977,1.00717512608609,0.0236736762522516,0.393844411917784,0.956953642384106,0.00674294404425797,1.50394126239893,"04_or_to_rr",1000
0.25,100,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.123604049332507,0.0201072041173528,0.635845623887505,0.0142250546884479,0.628971980217699,0.989189760200312,0.0221300232438049,0.647435957273665,0.962,0.00604615580348373,2.36800796184827,"04_or_to_rr",1000
0.5,100,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0253237642833386,0.0140533386554859,0.444405588810238,0.00994218339669816,0.426959024825246,0.960741798878588,0.0214935891938193,0.444904623572161,0.956,0.00648567652600714,1.64526275825574,"04_or_to_rr",1000
0.75,100,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0166486536317366,0.0119669441274514,0.378428000747228,0.00846614147213465,0.355607348932276,0.939696185879766,0.0210227595071576,0.378604967829985,0.947,0.00708456067798138,1.38138532771621,"04_or_to_rr",1000
1,100,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.00401318858481761,0.0102185822372182,0.323139943273486,0.00722924432031722,0.317100878698437,0.981311302731961,0.0219537674292839,0.32300326499661,0.961,0.00612200947402077,1.23434605806704,"04_or_to_rr",1000
2,100,0.3,0.01,0.5,"dipietrantonj","population",1000,957,957,957,0.043,0.0431702412755134,0.00831337875936655,0.257177835245632,0.00588152019304422,0.259180738029491,1.00778800701058,0.0230475752619945,0.260643427707316,0.96551724137931,0.0058982754310209,1.0088077166283,"04_or_to_rr",1000
0.25,300,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0572769761872776,0.0106588511877723,0.337062469941517,0.00754071725622147,0.329627787643472,0.97794271697073,0.0218784058715787,0.341728180774707,0.968,0.00556560868189635,1.27691495722866,"04_or_to_rr",1000
0.5,300,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0143421965097671,0.00752672504298485,0.238015944576609,0.00532486141466922,0.235471139410502,0.989308257601676,0.0221326742520867,0.238328841904515,0.954,0.00662449998113065,0.919263023362448,"04_or_to_rr",1000
0.75,300,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.000752155994008534,0.0061937047348802,0.195862141167908,0.00438180206773417,0.198742733386875,1.01470724358363,0.0227008970266894,0.195765630546258,0.961,0.00612200947402077,0.777043975743223,"04_or_to_rr",1000
1,300,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0136695548611523,0.00577330961281184,0.182568080138302,0.00408438908245403,0.177711750928202,0.973399899881616,0.0217767745650091,0.182988058385246,0.942,0.00739161687318817,0.695198273631904,"04_or_to_rr",1000
2,300,0.3,0.01,0.5,"dipietrantonj","population",1000,992,992,992,0.00800000000000001,0.00753887543028679,0.00453510105830655,0.14283768577018,0.00320841826575065,0.14354326968856,1.00493976022207,0.0225729440048705,0.142964582947404,0.959677419354839,0.0062456977236912,0.561312776010768,"04_or_to_rr",1000
0.25,50,0.5,0.01,0.5,"dipietrantonj","population",1000,998,998,998,0.002,-0.140624514789306,0.0198527081163231,0.627169641734051,0.0140450228821347,0.665033555256374,1.06037268228997,0.0237463001958703,0.642435120189575,0.968937875751503,0.00549159210551682,2.5001039055153,"04_or_to_rr",1000
0.5,50,0.5,0.01,0.5,"dipietrantonj","population",1000,980,980,980,0.02,-0.0494565934235275,0.0148909949617666,0.466161877819637,0.0105348998368366,0.442075695025828,0.948330861145348,0.021431547944409,0.468541470133049,0.960204081632653,0.006244360986624,1.68931036903234,"04_or_to_rr",1000
0.75,50,0.5,0.01,0.5,"dipietrantonj","population",1000,922,922,922,0.078,-0.0336905070258841,0.0117852595707522,0.35785295916662,0.008337959857442,0.35803499286572,1.00050868295046,0.0233118129158152,0.35924211655208,0.957700650759219,0.00662851546269968,1.38942621623089,"04_or_to_rr",1000
1,50,0.5,0.01,0.5,"dipietrantonj","population",1000,893,893,893,0.107,-0.0267002115424845,0.0111971056881394,0.334604291636684,0.007921986206791,0.332080653646905,0.992457843330597,0.0234971204560144,0.335481084567087,0.967525195968645,0.00593169322142522,1.29537556399401,"04_or_to_rr",1000
0.25,100,0.5,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0645504967278879,0.0136686027195389,0.432239170257145,0.00966999788062563,0.435513105345566,1.00757436001571,0.0225413210934313,0.436818768177488,0.971,0.00530650544143696,1.66288263138507,"04_or_to_rr",1000
0.5,100,0.5,0.01,0.5,"dipietrantonj","population",1000,995,995,995,0.005,-0.02447447221506,0.00937762624692739,0.295804284378922,0.00663431777673024,0.295851607908685,1.00015998257044,0.0224316533003337,0.296666874748606,0.950753768844221,0.00685976103666382,1.14925289371025,"04_or_to_rr",1000
0.75,100,0.5,0.01,0.5,"dipietrantonj","population",1000,968,968,968,0.032,-0.0104575592979114,0.00780759446550117,0.242915331617659,0.00552365685709489,0.240187473752241,0.988770334720118,0.0224836695283821,0.243014938532694,0.955578512396694,0.00662204394072617,0.937209577410522,"04_or_to_rr",1000
1,100,0.5,0.01,0.5,"dipietrantonj","population",1000,926,926,926,0.074,-0.00200351185463716,0.00721893227472553,0.219673900204895,0.0051073144384929,0.222041820772955,1.0107792530922,0.0235001402926419,0.219564394899981,0.960043196544277,0.00643628494065351,0.868780428639044,"04_or_to_rr",1000
0.25,300,0.5,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0250507864560803,0.00762757120834192,0.241204980334832,0.00539620610331674,0.237406956686486,0.98425395842543,0.02201960013552,0.242382352075922,0.958,0.00634318531969546,0.924351995442246,"04_or_to_rr",1000
0.5,300,0.5,0.01,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0153408788652312,0.00542316248818875,0.171495455838625,0.00383667378759274,0.165379349764359,0.964336628954058,0.0215740122595732,0.172094808888246,0.948,0.00702111102319284,0.646240745845119,"04_or_to_rr",1000
0.75,300,0.5,0.01,0.5,"dipietrantonj","population",1000,993,993,993,0.00700000000000001,0.00454073118071209,0.0043021780630828,0.135569815718196,0.0030436322122226,0.134170547559466,0.98967861576475,0.0222189408367336,0.135577595632297,0.947633434038268,0.0070692381219251,0.524961835515264,"04_or_to_rr",1000
1,300,0.5,0.01,0.5,"dipietrantonj","population",1000,961,961,961,0.039,-0.00467033496346675,0.004040183707562,0.125245694934422,0.00285832884774972,0.122027836504989,0.974307632441037,0.0222354278432253,0.125267605724251,0.95213319458897,0.00688659243834237,0.478039566329898,"04_or_to_rr",1000
0.25,50,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,1.2003816953411,0.0157156563608495,0.496972690247975,0.0111182076778644,1.32897338438746,2.67413765477604,0.0598254559826257,1.29909625798377,1,0,5.19130723490787,"04_or_to_rr",1000
0.5,50,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.552708097659037,0.0170118561725056,0.537962127323119,0.012035217974291,1.31902591292755,2.45189362955898,0.0548534418739733,0.7711031632677,1,0,5.15121574409357,"04_or_to_rr",1000
0.75,50,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.201136144676608,0.017784220693351,0.562386438020881,0.0125816354415987,1.31253151366319,2.33386053597269,0.0522128210247707,0.59700751742295,1,0,5.12537352982038,"04_or_to_rr",1000
1,50,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0566216874620593,0.0185321367360684,0.586037619956548,0.0131107565739017,1.30355598465436,2.22435546842712,0.0497629880527763,0.588474865566391,1,0,5.0890100395557,"04_or_to_rr",1000
2,50,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.58932918557979,0.0195424874900392,0.61798771613871,0.0138255399244794,1.28609396713759,2.08109956484785,0.0465580858150302,0.85371880467586,0.99,0.00314642654451046,5.0197551228278,"04_or_to_rr",1000
0.25,100,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,1.04381745314896,0.0201920303431537,0.63852806467597,0.0142850659010456,1.30314008288835,2.04085012856819,0.0456576307190953,1.2234644444314,0.995,0.00223047080231955,5.08273186109859,"04_or_to_rr",1000
0.5,100,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.41878070157919,0.0219838012893724,0.695188837029632,0.0155526732496544,1.28947843559105,1.85486067512342,0.0414966991229153,0.811283863778049,1,0,5.0293988053067,"04_or_to_rr",1000
0.75,100,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.106463181361937,0.0225335872658379,0.712574596142139,0.0159416251664162,1.28592755545215,1.80462166686005,0.0403727586361182,0.720131377942782,1,0,5.01588507104399,"04_or_to_rr",1000
1,100,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.120540675266242,0.0241932219701726,0.765056853637715,0.0171157513300647,1.26904166625855,1.65875471897869,0.0371094424585796,0.774116742941518,1,0,4.94878171894711,"04_or_to_rr",1000
2,100,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.423429524116661,0.0242943048904263,0.768253376243144,0.0171872635134735,1.23910289338382,1.61288310823076,0.0360832088147165,0.876878326082098,0.973,0.00512552436341883,4.83409124053489,"04_or_to_rr",1000
0.25,300,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.580451164694303,0.0270934143583929,0.856768989632311,0.0191675231770442,1.19882476162304,1.39923920698569,0.0313035955487104,1.03452530326181,0.981,0.00431729081716764,4.67083896257892,"04_or_to_rr",1000
0.5,300,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.145834738872943,0.0295784374797033,0.935352320647529,0.0209255791253693,1.19953034576065,1.28243691631645,0.0286905100605262,0.946190705322725,0.996,0.00199599599197994,4.66899524611305,"04_or_to_rr",1000
0.75,300,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0272020135324107,0.0303113609635859,0.958529396244476,0.0214440936130041,1.18247370191004,1.23363321619866,0.0275986800988295,0.95843610866951,0.994,0.00244213021765835,4.59645529558629,"04_or_to_rr",1000
1,300,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.07230628589845,0.0302016207856524,0.955059107113457,0.0213664567608832,1.15906237704289,1.21360276909563,0.0271505615701014,0.957316018440463,0.985,0.00384382621875652,4.49868019277622,"04_or_to_rr",1000
2,300,0.01,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.101576389089623,0.0266923876458395,0.844087411489926,0.0188838125783798,1.07362405311298,1.27193468176228,0.0284555554500491,0.849758105285271,0.981,0.00431729081716764,4.14890407313826,"04_or_to_rr",1000
0.25,50,0.05,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.652484486963739,0.0255903458244025,0.809237789164912,0.0181041614102014,1.19325788102546,1.47454542657583,0.0329883363911506,1.0392049554065,0.983,0.00408790900094413,4.64593090636499,"04_or_to_rr",1000
0.5,50,0.05,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.154506793295824,0.0269737327681593,0.852984325441021,0.019082853167413,1.1865051928456,1.39100468491275,0.0311193739036755,0.866445050977373,0.997,0.00172945077987204,4.61951744463391,"04_or_to_rr",1000
0.75,50,0.05,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.015044816629808,0.0283182057900535,0.895500295459369,0.0200340148581168,1.1800581616841,1.31776412321423,0.0294808456879678,0.895178867543283,0.999,0.000999499874937461,4.58812603515843,"04_or_to_rr",1000
1,50,0.05,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.091159833153925,0.0291503213290442,0.921814099255663,0.02062270381657,1.16573950338126,1.26461452946159,0.0282917899653261,0.925851828066237,0.991,0.00298646948753876,4.52930625269403,"04_or_to_rr",1000
2,50,0.05,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.17331570918246,0.0274133585687021,0.86688651391992,0.0193938711000244,1.08486859655669,1.25145400134452,0.0279973643608065,0.883617038562314,0.971,0.00530650544143696,4.1985379284072,"04_or_to_rr",1000
0.25,100,0.05,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.273370907283822,0.0275430287608067,0.870987045436742,0.0194856076519281,1.12000167518805,1.28589934954365,0.0287679711613999,0.912464502232546,0.981,0.00431729081716764,4.35821894164106,"04_or_to_rr",1000
0.5,100,0.05,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,0.032090227770661,0.030226615402391,0.955849506294825,0.0213841394674369,1.10112549218041,1.15198625403775,0.0257720849973587,0.955910253697359,0.994,0.00244213021765835,4.26804225721218,"04_or_to_rr",1000
0.75,100,0.05,0.05,0.5,"dipietrantonj","population",1000,1000,1000,1000,0,-0.0444444697797413,0.030441985261822,0.962660099246347,0.021536505157404,1.04653032137988,1.08712340129106,0.0243209817847121,0.963204580091015,0.99,0.00314642654451046,4.03512083318948,"04_or_to_rr",1000
